,trj_id,driving_mode,osname,rawlat,rawlng,speed,bearing,accuracy,realtime
123932,10,car,android,1.3015215,103.7994988,6.0836606,132,8.0,2019-04-09 11:25:56
115363,10,car,android,1.3011568,103.7999351,6.8754377,131,8.0,2019-04-09 11:26:04
4628467,10,car,android,1.3009753,103.8001605,7.2557783,128,8.0,2019-04-09 11:26:09
4636750,10,car,android,1.3008547,103.8003488,3.7964983,124,6.967,2019-04-09 11:26:14
4641137,10,car,android,1.3007824,103.8004776,1.9016918,107,4.787,2019-04-09 11:26:20
4634068,10,car,android,1.3007814,103.8004964,0.48424074,107,4.2,2019-04-09 11:26:22
118989,10,car,android,1.3007817,103.8005044,0.0,107,4.393,2019-04-09 11:26:25
118948,10,car,android,1.3007818,103.8005064,0.0,107,4.161,2019-04-09 11:26:26
116245,10,car,android,1.3007726,103.8005916,3.7219179,86,3.854,2019-04-09 11:26:43
122551,10,car,android,1.3008898,103.8008148,6.134713,32,6.0,2019-04-09 11:26:49
126541,10,car,android,1.3009408,103.8008436,6.3729343,30,6.0,2019-04-09 11:26:50
4639206,10,car,android,1.3010814,103.800913,8.58111,24,6.0,2019-04-09 11:26:52
4627690,10,car,android,1.3012874,103.8009949,11.348696,19,8.0,2019-04-09 11:26:54
4634531,10,car,android,1.3020829,103.801179,13.078429,12,6.0,2019-04-09 11:27:01
4642399,10,car,android,1.3022072,103.801205,13.635079,11,6.0,2019-04-09 11:27:02
4630413,10,car,android,1.3024675,103.8012612,14.7712755,11,6.0,2019-04-09 11:27:04
4627122,10,car,android,1.3032777,103.8014032,15.9220915,9,6.0,2019-04-09 11:27:10
4628842,10,car,android,1.3038759,103.801465,16.620235,4,8.0,2019-04-09 11:27:14
4637796,10,car,android,1.3041974,103.8014831,17.197807,3,8.0,2019-04-09 11:27:16
4629250,10,car,android,1.3043618,103.8014886,17.27532,2,8.0,2019-04-09 11:27:17
115855,10,car,android,1.3048365,103.8015036,17.523708,3,8.0,2019-04-09 11:27:20
