,trj_id,driving_mode,osname,pingtimestamp,rawlat,rawlng,speed,bearing,accuracy,realtime
112611,10,car,android,1554809641,1.327601,103.8138722,2.8936453,6,4.781,2019-04-09 11:34:01
112627,10,car,android,1554809778,1.3386471,103.8197378,12.501465,22,6.0,2019-04-09 11:36:18
112728,10,car,android,1554810153,1.3542283,103.8408988,17.233355,23,6.0,2019-04-09 11:42:33
112808,10,car,android,1554809768,1.3374703,103.8192518,13.217082,25,6.0,2019-04-09 11:36:08
112842,10,car,android,1554810168,1.3564857,103.8415931,18.751385,5,8.0,2019-04-09 11:42:48
113144,10,car,android,1554809316,1.3153396,103.8051784,14.528547,38,8.0,2019-04-09 11:28:36
113213,10,car,android,1554809305,1.3138786,103.8044367,17.449463,18,12.0,2019-04-09 11:28:25
113318,10,car,android,1554809688,1.3309295,103.8154771,12.753925,31,8.0,2019-04-09 11:34:48
113791,10,car,android,1554809961,1.3476721,103.8381557,6.119992,330,4.0,2019-04-09 11:39:21
114215,10,car,android,1554809401,1.3187762,103.8090375,0.0,51,3.921,2019-04-09 11:30:01
114593,10,car,android,1554809649,1.3280831,103.8139304,7.5020213,8,6.0,2019-04-09 11:34:09
114813,10,car,android,1554809554,1.3232587,103.8133092,5.7697535,10,4.0,2019-04-09 11:32:34
114833,10,car,android,1554809877,1.3404353,103.8326893,18.861261,94,6.0,2019-04-09 11:37:57
115064,10,car,android,1554809717,1.3338029,103.8174037,6.124905,50,6.0,2019-04-09 11:35:17
115241,10,car,android,1554810173,1.3573689,103.8415464,18.674574,355,8.0,2019-04-09 11:42:53
115363,10,car,android,1554809164,1.3011568,103.7999351,6.8754377,131,8.0,2019-04-09 11:26:04
115392,10,car,android,1554809698,1.3320606,103.8161042,14.040142,30,6.0,2019-04-09 11:34:58
115467,10,car,android,1554809972,1.3479026,103.8380133,0.5136205,326,3.0,2019-04-09 11:39:32
115575,10,car,android,1554809368,1.3179773,103.808153,6.718682,51,6.0,2019-04-09 11:29:28
115618,10,car,android,1554809257,1.3068306,103.802051,12.576111,19,8.0,2019-04-09 11:27:37
115635,10,car,android,1554810174,1.357542,103.8415269,18.460138,354,8.0,2019-04-09 11:42:54
115789,10,car,android,1554810200,1.3603484,103.8416735,1.7892567,19,3.687,2019-04-09 11:43:20
